sample_id,psnr,ssim,lpips
10140071_56980_60676,35.84271641452721,0.920130729675293,0.06813980638980865
10140071_57288_39116,34.59189167750714,0.8799450993537903,0.10473106056451797
10140071_57288_41888,33.63117239880425,0.9053633213043213,0.07241179794073105
10140071_57904_53900,33.56136305523694,0.8864617347717285,0.12345913052558899
10140071_58212_35728,35.48662894387836,0.9285638928413391,0.08922028541564941
10140071_58212_58212,33.41970929161378,0.899517297744751,0.0894024595618248
10140071_58520_60984,36.7420968699953,0.9244546890258789,0.08880110085010529
10140071_5852_42812,33.11613768638305,0.8966963887214661,0.08881741017103195
10140071_58828_19096,35.57622877920593,0.8923375010490417,0.12134663760662079
10140071_59136_12320,32.75461935089885,0.8300714492797852,0.18973100185394287
10140071_60060_56672,34.83391858569754,0.8993635177612305,0.090031698346138
